datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
7/3/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,2,0,0.5,"-2,554,506","-4,922,498",
6/15/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,8,0,0.9,"-2,557,563","-4,931,818",
7/25/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,9,0,0,"-2,541,218","-4,936,866",
7/2/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,1,0,0.6,"-2,560,291","-4,934,362",
8/6/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,20,0,-999,"-2,550,719","-4,934,222",
9/13/2016,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,6,2.1,0.1,"-2,558,815","-4,925,346",
10/14/2017,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,0,10.8,-999,"-2,545,848","-4,922,747",
11/6/2017,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,540,127","-4,926,872",
11/6/2017,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,540,095","-4,927,217",
11/12/2017,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,548,235","-492,548",
11/12/2017,NPP-375D,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,547,808","-4,925,417",
2/22/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,546,496","-4,935,378",
4/28/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,550,201","-4,931,775",
7/16/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,0.5,"-2,536,233","-4,923,721",
7/24/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,545,944","-4,932,586",
8/6/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,548,977","-491,983",
8/8/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,1.4,-999,"-256,048","-4,933,524",
8/27/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,541,962","-4,922,437",
8/27/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,541,931","-4,922,092",
9/4/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,555,615","-4,929,143",
9/8/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,19,0,1,"-256,074","-4,934,015",
9/6/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-2,553,347","-4,933,793",
9/7/2017,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0,-999,"-254,314","-4,935,738",
9/11/2017,TERRA_M-T,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0.7,0.3,"-25,417","-49,371",
4/5/2018,NPP-375,Brasil,PARANA,CURITIBA,Mata Atlantica,0,0.2,0,"-255,602","-4,927,956",4.9
